variant,isin,base,nrd_z,our_z,delta,duration,margin_bps,rating,z_minus_g
V0   spline conv fwd (прод),RU000A0JQAM6,KEYRATE,-167,-117,50,0.49589,250,AAA,
V0   spline conv fwd (прод),RU000A0JXE06,KEYRATE,419,232,-187,0.249315,220,AA,
V0   spline conv fwd (прод),RU000A0ZZ1J8,KEYRATE,431,236,-195,0.249315,250,AA,
V0   spline conv fwd (прод),RU000A0ZZ1M2,KEYRATE,404,196,-208,0.49863,50,AA,
V0   spline conv fwd (прод),RU000A1006C3,KEYRATE,3296,1040,-2256,1.850282,625,B,
V0   spline conv fwd (прод),RU000A1013N6,KEYRATE,3073,1158,-1915,0.082192,600,B,
V0   spline conv fwd (прод),RU000A102VR0,KEYRATE,379,197,-182,0.249315,210,AA,
V0   spline conv fwd (прод),RU000A1038M5,KEYRATE,380,195,-185,0.249315,215,AA,
V0   spline conv fwd (прод),RU000A103M36,KEYRATE,463,267,-196,0.249315,250,A,
V0   spline conv fwd (прод),RU000A104XJ9,KEYRATE,1213,988,-225,0.482223,900,BB,
V0   spline conv fwd (прод),RU000A105VQ5,KEYRATE,398,19,-379,0.249315,130,AAA,
V0   spline conv fwd (прод),RU000A106037,KEYRATE,422,260,-162,0.249315,130,AAA,
V0   spline conv fwd (прод),RU000A106565,KEYRATE,405,228,-177,0.249315,130,AAA,
V0   spline conv fwd (прод),RU000A106J38,KEYRATE,88,309,221,0.019178,250,A,
V0   spline conv fwd (прод),RU000A106TM6,KEYRATE,372,178,-194,0.079452,0,AAA,
V0   spline conv fwd (прод),RU000A106ZU6,KEYRATE,418,244,-174,0.249315,120,AAA,
V0   spline conv fwd (прод),RU000A1075S4,KEYRATE,318,180,-138,0.079452,110,AAA,
V0   spline conv fwd (прод),RU000A1077V4,KEYRATE,346,107,-239,0.249315,200,AA,
V0   spline conv fwd (прод),RU000A107AG6,KEYRATE,455,304,-151,0.082192,90,AA,
V0   spline conv fwd (прод),RU000A107B35,KEYRATE,362,138,-224,0.079452,0,AAA,
V0   spline conv fwd (прод),RU000A107DP1,KEYRATE,377,233,-144,0.084932,115,AAA,
V0   spline conv fwd (прод),RU000A107EC7,KEYRATE,434,254,-180,0.079452,115,AAA,
V0   spline conv fwd (прод),RU000A107F49,KEYRATE,449,289,-160,0.084932,0,AA,
V0   spline conv fwd (прод),RU000A107HR8,KEYRATE,412,263,-149,0.249315,250,AA,
V0   spline conv fwd (прод),RU000A107R29,KEYRATE,580,478,-102,2.057041,400,BB,
V0   spline conv fwd (прод),RU000A107S10,RUONIA,281,207,-74,0.084932,130,AA,
V0   spline conv fwd (прод),RU000A107SG8,KEYRATE,16988,206,-16782,0.08925,300,BBB,
V0   spline conv fwd (прод),RU000A107TT9,KEYRATE,783,150,-633,0.249315,230,AA,
V0   spline conv fwd (прод),RU000A107W55,KEYRATE,331,126,-205,0.079452,2,AAA,
V0   spline conv fwd (прод),RU000A107WL0,KEYRATE,286,23,-263,0.189041,110,AAA,
V0   spline conv fwd (прод),RU000A1083A6,KEYRATE,366,188,-178,0.082192,130,AAA,
V0   spline conv fwd (прод),RU000A108462,KEYRATE,1371,1176,-195,0.657237,600,BB,
V0   spline conv fwd (прод),RU000A108A19,KEYRATE,107,1828,1721,0.705088,300,BB,
V0   spline conv fwd (прод),RU000A108DE3,KEYRATE,813,381,-432,0.249315,215,AA,
V0   spline conv fwd (прод),RU000A108JV4,KEYRATE,440,266,-174,0.084932,125,AAA,
V0   spline conv fwd (прод),RU000A108LN7,KEYRATE,1431,1210,-221,0.828246,425,BBB,
V0   spline conv fwd (прод),RU000A108P61,KEYRATE,450,263,-187,0.076712,115,AAA,
V0   spline conv fwd (прод),RU000A108RP9,KEYRATE,458,302,-156,0.249315,220,AA,
V0   spline conv fwd (прод),RU000A108VL0,KEYRATE,453,274,-179,0.079452,50,AA,
V0   spline conv fwd (прод),RU000A1090K0,KEYRATE,256,100,-156,0.032877,100,AA,
V0   spline conv fwd (прод),RU000A109221,KEYRATE,2443,1937,-506,0.936189,400,BBB,
V0   spline conv fwd (прод),RU000A109312,KEYRATE,421,244,-177,0.249315,130,AAA,
V0   spline conv fwd (прод),RU000A109825,KEYRATE,645,-66,-711,0.089384,200,A,
V0   spline conv fwd (прод),RU000A109981,KEYRATE,880,758,-122,1.051582,300,A,
V0   spline conv fwd (прод),RU000A1099A2,KEYRATE,465,299,-166,0.076712,140,AA,
V0   spline conv fwd (прод),RU000A1099E4,KEYRATE,342,187,-155,1.00544,140,AA,
V0   spline conv fwd (прод),RU000A109DT9,KEYRATE,530,354,-176,0.084932,170,AA,
V0   spline conv fwd (прод),RU000A109JX8,KEYRATE,1055,902,-153,1.048555,425,BBB,
V0   spline conv fwd (прод),RU000A109K40,KEYRATE,322,164,-158,0.084932,110,AAA,
V0   spline conv fwd (прод),RU000A109KL1,KEYRATE,306,80,-226,0.082192,0,AAA,
V0   spline conv fwd (прод),RU000A109KV0,KEYRATE,514,320,-194,0.191327,275,A,
V0   spline conv fwd (прод),RU000A109KW8,KEYRATE,425,102,-323,0.079452,120,AAA,
V0   spline conv fwd (прод),RU000A109KY4,KEYRATE,471,306,-165,0.249315,230,AA,
V0   spline conv fwd (прод),RU000A109LC8,KEYRATE,1138,812,-326,0.087671,300,A,
V0   spline conv fwd (прод),RU000A109PF2,RUONIA,226,228,2,0.090411,130,AAA,
V0   spline conv fwd (прод),RU000A109S91,KEYRATE,361,189,-172,0.084932,114,AAA,
V0   spline conv fwd (прод),RU000A109SP5,KEYRATE,1865,1413,-452,0.082192,300,BBB,
V0   spline conv fwd (прод),RU000A109TJ6,KEYRATE,452,287,-165,0.084932,150,AAA,
V0   spline conv fwd (прод),RU000A109U97,KEYRATE,327,161,-166,0.082192,125,AAA,
V0   spline conv fwd (прод),RU000A10A349,KEYRATE,321,155,-166,0.082192,200,AAA,
V0   spline conv fwd (прод),RU000A10A398,KEYRATE,486,382,-104,0.335666,450,A,
V0   spline conv fwd (прод),RU000A10A4S7,KEYRATE,275,209,-66,0.082192,200,AAA,
V0   spline conv fwd (прод),RU000A10AAU6,KEYRATE,-30,-42,-12,0.437535,500,A,
V0   spline conv fwd (прод),RU000A10AEG7,KEYRATE,463,567,104,0.42467,600,A,
V0   spline conv fwd (прод),RU000A10AHD7,KEYRATE,1275,750,-525,0.079452,675,BBB,
V0   spline conv fwd (прод),RU000A10ASD4,KEYRATE,945,707,-238,0.076712,600,A,
V0   spline conv fwd (прод),RU000A10B4T4,KEYRATE,2373,1513,-860,0.084932,650,B,
V0   spline conv fwd (прод),RU000A10BBD8,KEYRATE,491,349,-142,0.079452,425,A,
V0   spline conv fwd (прод),RU000A10BQF1,KEYRATE,461,125,-336,0.082192,400,A,
V0   spline conv fwd (прод),RU000A10BQX4,KEYRATE,335,216,-119,0.087671,190,AA,
V0   spline conv fwd (прод),RU000A10BRR4,KEYRATE,415,279,-136,0.076712,185,AAA,
V0   spline conv fwd (прод),RU000A10BZQ9,KEYRATE,515,456,-59,0.087671,350,A,
V0   spline conv fwd (прод),RU000A10C329,KEYRATE,414,376,-38,0.927028,280,A,
V0   spline conv fwd (прод),RU000A10C3P3,KEYRATE,2023,1643,-380,1.628725,500,BBB,
V0   spline conv fwd (прод),RU000A10C5U8,KEYRATE,694,83,-611,0.076712,325,A,
V0   spline conv fwd (прод),RU000A10CN62,KEYRATE,901,700,-201,0.611106,600,BBB,
V0   spline conv fwd (прод),RU000A10D1H3,RUONIA,175,199,24,0.084932,150,AAA,
V0   spline conv fwd (прод),RU000A10D1W2,KEYRATE,457,296,-161,0.082192,115,AAA,
V0   spline conv fwd (прод),RU000A10D2Q2,KEYRATE,441,280,-161,0.082192,140,AAA,
V0   spline conv fwd (прод),RU000A10D459,KEYRATE,384,236,-148,0.082192,165,AAA,
V0   spline conv fwd (прод),RU000A10DC15,KEYRATE,673,316,-357,0.076712,350,A,
V0   spline conv fwd (прод),RU000A10DFN4,KEYRATE,373,139,-234,0.082192,175,AAA,
V0   spline conv fwd (прод),RU000A10DLE1,KEYRATE,375,195,-180,0.084932,150,AAA,
V0   spline conv fwd (прод),RU000A10DRF5,KEYRATE,404,232,-172,0.082192,160,AAA,
V0   spline conv fwd (прод),RU000A10E6Q2,KEYRATE,410,-104,-514,0.079452,130,AAA,
V0   spline conv fwd (прод),RU000A10E8N5,KEYRATE,411,134,-277,0.076712,175,AAA,
V0   spline conv fwd (прод),RU000A10ECM1,KEYRATE,411,236,-175,0.084932,150,AAA,
V0   spline conv fwd (прод),RU000A10EF11,KEYRATE,416,365,-51,1.43416,220,A,
V0   spline conv fwd (прод),RU000A10EG28,KEYRATE,220,176,-44,2.14552,195,AA,
V0   spline conv fwd (прод),RU000A10ELF6,KEYRATE,465,-55,-520,0.087671,165,AAA,
V0   spline conv fwd (прод),RU000A10ERV0,KEYRATE,412,233,-179,0.082192,140,AA,
V0   spline conv fwd (прод),RU000A10ES57,KEYRATE,372,198,-174,0.082192,150,AAA,
V0   spline conv fwd (прод),RU000A10F8N4,KEYRATE,386,-191,-577,0.082192,150,AAA,
V0   spline conv fwd (прод),RU000A10FA64,KEYRATE,532,333,-199,0.087671,280,A,
V0   spline conv fwd (прод),RU000A10FAN0,KEYRATE,372,203,-169,0.084932,135,AAA,
V0   spline conv fwd (прод),RU000A10FBH0,KEYRATE,99,44,-55,0.076712,100,AAA,
V0n  spline raw  fwd,RU000A0JQAM6,KEYRATE,-167,-180,-13,0.49589,250,AAA,
V0n  spline raw  fwd,RU000A0JXE06,KEYRATE,419,155,-264,0.249315,220,AA,
V0n  spline raw  fwd,RU000A0ZZ1J8,KEYRATE,431,162,-269,0.249315,250,AA,
V0n  spline raw  fwd,RU000A0ZZ1M2,KEYRATE,404,133,-271,0.49863,50,AA,
V0n  spline raw  fwd,RU000A1006C3,KEYRATE,3296,1040,-2256,1.850282,625,B,
V0n  spline raw  fwd,RU000A1013N6,KEYRATE,3073,1158,-1915,0.082192,600,B,
V0n  spline raw  fwd,RU000A102VR0,KEYRATE,379,119,-260,0.249315,210,AA,
V0n  spline raw  fwd,RU000A1038M5,KEYRATE,380,117,-263,0.249315,215,AA,
V0n  spline raw  fwd,RU000A103M36,KEYRATE,463,192,-271,0.249315,250,A,
V0n  spline raw  fwd,RU000A104XJ9,KEYRATE,1213,951,-262,0.482223,900,BB,
V0n  spline raw  fwd,RU000A105VQ5,KEYRATE,398,-58,-456,0.249315,130,AAA,
V0n  spline raw  fwd,RU000A106037,KEYRATE,422,194,-228,0.249315,130,AAA,
V0n  spline raw  fwd,RU000A106565,KEYRATE,405,154,-251,0.249315,130,AAA,
V0n  spline raw  fwd,RU000A106J38,KEYRATE,88,237,149,0.019178,250,A,
V0n  spline raw  fwd,RU000A106TM6,KEYRATE,372,178,-194,0.079452,0,AAA,
